Student_ID,Age,GPA,Attendance_Rate,Assignment_Avg,Exam_Score,LMS_Login_Frequency,Video_Engagement_Time,Forum_Interactions,Engagement_Score,Stress_Level_Index,Dropout_Risk
STD00070,17,5.93,95.64,47.67,63.4,3,12.56,12,0.24,0.53,0
STD00071,25,4.75,78.28,74.93,60.5,23,4.99,18,0.53,0.77,0
STD00072,23,6.85,59.13,57.99,61.34,7,14.17,10,0.24,0.4,0
STD00073,25,4.68,56.98,42.06,43.16,10,3.1,12,0.64,0.54,0
STD00074,24,6.92,78.82,78.1,87.89,13,10.11,7,0.45,0.92,0
STD00075,17,9.52,88.09,91.54,37.32,4,10.25,6,0.63,0.96,0
STD00076,24,7.12,89.08,60.69,69.33,18,4.16,12,0.31,0.93,0
STD00077,24,7.7,63.79,63.42,78.02,11,5.21,0,0.95,0.34,0
STD00078,19,4.94,60.21,93.46,48.49,4,12.6,5,0.92,0.31,0
STD00079,17,4.26,50.84,88.82,93.88,24,11.55,6,0.35,0.37,1
STD00080,24,4.66,83.96,82.9,89.51,14,5.27,15,0.47,0.5,0
STD00081,19,7.59,53.83,54.93,65.62,18,8.24,14,0.69,0.38,0
STD00082,19,4.57,71.04,94.61,61.72,8,1.39,19,0.28,0.44,0
STD00083,17,6.26,80.08,49.26,50.38,10,3.53,1,0.48,0.66,0
STD00084,21,7.3,96.86,77.61,82.45,5,7.54,15,0.4,0.79,0
STD00085,23,6.33,65.59,41.73,43.56,23,1.75,16,0.93,0.76,0
STD00086,25,4.98,62.49,78.62,79.22,7,12.73,14,0.88,0.83,0
STD00087,23,5.64,82.71,56.63,89.76,12,10.91,2,0.66,0.13,0
STD00088,25,9.57,80.96,66.98,49.85,3,14.18,3,0.62,0.14,0
STD00089,24,8.06,66.61,60.72,91.32,4,10.56,11,0.94,0.81,0
STD00090,18,6.98,96.41,50.37,37.17,10,14.14,4,0.95,0.58,0
STD00091,17,4.08,92.24,77.32,94.33,4,8.54,16,0.98,0.62,0
STD00092,23,9.95,61.2,92.92,42.69,15,9.2,5,0.3,0.15,0
STD00093,23,8.03,61.96,97.55,76.97,10,14.67,9,0.33,0.33,0
STD00094,24,5.9,75.62,51.54,51.26,21,9.81,17,0.74,0.67,0
STD00095,21,9.28,88.68,83.04,89.38,22,0.95,9,0.63,0.87,0
STD00096,19,5.55,52.2,79.86,68.3,16,11.0,5,0.21,0.93,1
STD00097,24,7.26,84.67,60.6,43.79,15,13.63,5,0.25,0.55,0
STD00098,22,7.82,82.41,41.15,72.11,19,12.04,19,0.91,0.59,0
STD00099,19,5.33,61.57,81.39,61.51,20,8.97,14,0.9,0.85,0
STD00100,17,9.87,84.07,96.73,77.99,19,10.23,3,0.49,0.58,0
STD00101,19,8.49,97.01,77.93,92.32,18,14.86,15,0.91,0.57,0
STD00102,21,7.35,52.34,66.12,61.61,12,1.81,7,0.67,0.91,0
STD00103,19,5.08,65.98,71.51,53.84,16,10.18,6,0.84,0.81,0
STD00104,17,4.32,71.91,51.98,35.94,1,4.61,18,0.54,0.92,0
STD00105,21,5.92,94.96,85.03,72.36,16,9.78,16,0.29,0.3,0
STD00106,23,8.52,98.11,84.79,61.15,2,9.31,12,0.55,0.57,0
STD00107,23,5.62,72.21,48.73,59.35,24,2.73,14,0.57,0.86,0
STD00108,25,7.24,87.5,92.68,46.89,15,3.5,1,0.64,0.2,0
STD00109,19,8.37,76.58,56.15,62.95,7,9.51,9,0.28,0.82,0
STD00110,23,4.65,76.89,98.94,98.99,1,2.36,12,0.99,0.26,0
STD00111,17,8.11,63.9,62.97,54.35,5,4.35,17,0.4,0.83,0
STD00112,20,4.55,60.85,50.67,73.98,10,12.61,10,0.36,0.65,1
STD00113,20,9.79,64.4,61.1,85.47,22,5.24,12,0.62,0.27,0
STD00114,21,6.93,77.82,66.41,83.7,21,7.58,18,0.63,0.53,0
STD00115,23,4.9,51.46,44.16,56.37,4,14.15,4,0.55,0.71,0
STD00116,23,6.05,95.36,74.69,74.71,14,3.79,2,0.82,0.67,0
STD00117,20,6.48,57.81,75.86,91.63,13,6.15,18,0.61,0.48,0
STD00118,23,8.55,61.0,84.34,36.0,1,9.29,12,0.69,0.91,0
STD00119,19,8.46,75.91,41.75,63.32,16,11.45,4,0.78,0.57,0
STD00120,22,7.67,85.51,72.47,49.58,23,13.57,11,0.22,0.56,0
STD00121,18,4.64,54.79,43.17,60.26,9,13.77,13,0.66,0.16,0
STD00122,25,4.91,65.88,82.07,62.04,22,11.76,5,0.91,0.93,0
STD00123,21,4.56,98.43,43.34,83.53,16,3.81,8,0.21,0.26,0
STD00124,22,7.46,63.12,94.7,41.1,19,0.86,16,0.52,0.58,0
STD00125,20,9.26,65.65,82.12,68.32,15,6.06,7,0.94,0.82,0
STD00126,23,6.6,91.82,70.44,71.67,14,2.55,12,0.48,0.29,0
STD00127,25,4.97,52.51,66.49,67.12,20,10.8,4,0.57,0.57,0
STD00128,23,7.35,73.23,47.84,82.57,10,10.09,16,0.99,0.32,0
STD00129,17,8.87,68.98,57.46,59.95,21,1.14,2,0.36,0.78,0
STD00130,17,8.45,65.83,92.14,96.42,12,12.63,5,0.25,0.61,0
STD00131,25,9.29,64.28,94.27,66.32,1,4.11,13,0.89,0.87,0
STD00132,25,5.67,54.57,40.04,72.13,21,6.77,14,0.89,0.91,0
STD00133,20,5.16,65.74,75.65,88.66,17,10.19,13,0.58,0.68,0
STD00134,25,9.28,52.15,83.16,52.89,9,6.73,10,0.61,0.75,0
STD00135,19,7.95,89.05,77.12,39.89,23,6.9,10,0.87,0.59,0
STD00136,23,5.87,69.91,44.9,81.01,19,1.45,8,0.79,0.45,0
STD00137,22,8.45,72.2,53.06,66.4,18,6.32,5,0.41,0.68,0
STD00138,24,8.89,94.68,55.02,93.27,7,11.59,14,0.21,0.92,0
STD00139,25,7.69,82.9,89.9,98.87,9,13.77,11,0.58,0.48,0
STD00140,21,8.13,50.4,67.79,60.94,22,6.5,5,0.89,0.38,0
STD00141,17,6.25,97.16,69.21,62.0,21,6.64,0,0.92,0.45,0
STD00142,19,7.23,61.86,96.09,61.52,12,10.69,15,0.96,0.49,0
STD00143,24,7.14,55.38,78.23,56.1,7,14.17,19,0.9,0.17,0
STD00144,22,9.09,88.41,93.92,85.81,14,4.37,14,0.66,0.55,0
STD00145,24,9.04,75.02,67.39,84.33,15,6.88,1,0.56,0.54,0
STD00146,25,9.0,71.69,48.97,66.11,15,12.04,16,0.82,0.63,0
STD00147,20,4.07,62.48,95.8,37.9,6,9.34,2,0.79,0.43,0
STD00148,17,8.5,77.37,67.52,55.12,21,2.1,2,0.63,0.65,0
STD00149,17,8.55,63.72,50.9,54.0,14,9.6,4,0.27,0.89,0
STD00150,20,8.07,95.08,58.14,87.72,2,3.21,16,0.94,0.96,0
STD00151,23,8.54,60.76,43.05,40.69,8,7.9,16,0.56,0.63,0
STD00152,18,9.05,94.22,68.1,87.37,13,8.17,19,0.49,0.14,0
STD00153,19,6.82,77.97,91.19,78.5,23,13.2,5,0.7,0.97,0
STD00154,17,7.01,91.42,96.01,82.61,6,7.21,0,0.74,0.74,0
STD00155,21,4.75,85.64,95.96,63.09,5,4.55,6,0.37,0.4,0
STD00156,17,6.31,84.83,47.51,79.18,5,3.85,14,0.87,0.23,0
STD00157,24,7.86,66.22,62.92,74.59,1,13.18,6,0.43,0.23,0
STD00158,17,8.68,61.69,41.69,84.98,9,2.98,18,0.35,0.25,0
STD00159,17,5.3,60.54,91.31,64.04,6,6.68,19,0.53,0.14,0
STD00160,18,4.83,92.86,61.53,65.73,20,3.21,10,0.78,0.91,0
STD00161,18,7.98,91.02,77.87,76.83,7,11.71,13,0.97,0.59,0
STD00162,22,4.01,72.03,82.89,42.03,9,7.38,12,0.85,0.73,0
STD00163,23,5.07,56.62,65.79,63.36,5,5.59,19,0.95,0.85,0
STD00164,21,4.17,69.11,58.39,98.18,14,5.74,8,0.31,0.81,1
STD00165,17,5.0,80.97,97.73,37.44,5,12.86,8,0.26,0.89,0
STD00166,17,5.09,72.72,97.87,55.54,8,8.53,15,0.65,0.97,0
STD00167,19,6.33,89.01,57.37,55.42,7,10.91,11,0.43,0.5,0
STD00168,18,6.41,99.88,68.78,76.18,13,13.51,9,0.86,0.96,0
STD00169,21,9.25,59.56,98.37,41.88,13,13.58,5,0.74,0.75,0
STD00170,22,7.06,72.98,40.29,75.86,8,5.26,17,0.98,0.16,0
STD00171,23,8.34,71.55,64.76,41.18,11,14.31,1,0.4,0.71,0
STD00172,20,4.62,65.22,46.03,41.17,18,0.86,19,0.59,0.72,0
STD00173,23,5.35,59.9,70.55,82.33,19,5.96,8,0.6,0.92,0
STD00174,24,8.22,53.28,41.48,56.07,6,13.49,18,0.39,0.44,0
STD00175,17,4.32,94.36,64.41,98.53,22,4.48,5,0.67,0.63,0
STD00176,22,6.92,70.99,53.24,37.43,2,4.46,1,0.55,0.11,0
STD00177,24,7.6,74.84,72.0,63.93,13,4.89,14,0.56,0.4,0
STD00178,21,7.61,95.85,99.76,42.35,23,9.38,16,0.49,0.16,0
STD00179,20,4.14,88.81,88.03,57.84,11,6.86,15,0.21,0.57,0
STD00180,18,5.93,56.53,90.74,99.88,1,11.04,7,0.62,0.84,0
STD00181,22,7.82,78.27,78.12,92.77,24,13.48,9,0.47,0.29,0
STD00182,22,4.89,72.11,42.49,38.14,2,10.28,9,0.2,0.57,0
STD00183,17,8.17,89.86,52.41,71.61,17,3.46,17,0.45,0.28,0
STD00184,25,8.48,86.21,95.5,77.11,8,14.02,9,0.42,0.21,0
STD00185,22,9.89,84.52,61.97,48.62,2,4.34,8,0.51,0.56,0
STD00186,19,5.26,67.03,46.22,44.43,6,2.67,18,0.31,0.17,1
STD00187,20,8.95,90.25,82.14,93.78,22,1.8,0,0.61,0.63,0
STD00188,20,7.12,52.62,57.97,97.97,5,8.67,3,0.75,0.13,0
STD00189,19,6.24,57.98,56.13,99.47,16,2.15,2,0.7,0.2,0
STD00190,19,4.73,66.78,99.88,86.33,8,2.51,9,0.84,0.59,0
STD00191,19,8.41,53.84,91.49,78.13,19,4.85,11,0.56,0.63,0
STD00192,20,5.42,61.75,64.48,57.47,16,4.58,17,0.62,0.13,0
STD00193,23,6.23,91.51,98.82,46.14,13,9.26,19,0.85,0.62,0
STD00194,20,4.38,97.41,79.01,40.13,20,12.34,5,0.54,0.85,0
STD00195,25,8.81,65.23,84.52,80.06,7,11.54,1,0.76,0.75,0
STD00196,17,8.6,63.23,41.89,86.01,16,4.31,9,0.55,0.22,0
STD00197,24,8.4,63.99,47.3,88.72,23,4.06,1,0.53,0.63,0
STD00198,23,5.8,63.89,77.99,94.39,16,14.5,8,0.81,0.71,0
STD00199,18,5.04,51.8,93.94,92.2,12,0.62,9,0.34,0.13,1
STD00200,24,7.83,96.35,77.42,99.98,14,13.26,1,0.47,0.87,0
STD00201,17,6.98,60.68,48.04,50.86,24,3.4,7,0.38,0.92,0
STD00202,25,5.07,71.0,46.95,84.61,18,14.24,16,0.49,0.87,0
STD00203,25,8.12,50.48,90.65,73.12,18,5.46,16,0.38,0.84,0
STD00204,18,9.95,92.9,48.36,51.98,16,6.89,3,0.66,0.77,0
STD00205,23,8.48,86.56,71.21,98.82,20,10.75,17,0.84,0.67,0
STD00206,19,8.44,97.34,42.23,93.36,16,9.02,11,0.83,0.71,0
STD00207,23,9.7,89.08,44.84,43.35,13,5.11,16,0.49,0.83,0
STD00208,25,5.22,65.69,80.34,36.7,9,8.53,8,0.99,0.7,0
STD00209,20,7.39,62.39,81.35,79.74,9,11.1,18,0.68,0.39,0
STD00210,17,9.88,84.89,60.49,74.27,13,1.11,13,0.52,0.44,0
STD00211,18,4.99,68.21,52.94,95.83,4,0.66,13,0.87,0.91,0
STD00212,17,8.2,78.31,88.82,50.21,9,7.14,16,0.78,0.12,0
STD00213,21,7.51,50.31,53.03,40.49,15,2.41,1,0.8,0.73,0
STD00214,21,7.52,53.09,72.52,51.85,14,10.13,7,0.36,0.96,0
STD00215,23,8.19,76.77,98.09,36.23,19,3.6,4,0.57,0.74,0
STD00216,25,9.58,78.3,48.87,37.33,12,6.78,6,0.89,0.99,0
STD00217,25,8.7,87.57,96.45,94.47,21,3.37,15,0.6,0.72,0
STD00218,19,4.34,56.6,50.97,57.88,6,8.45,15,0.75,0.13,0
STD00219,19,9.12,75.66,74.05,61.7,3,2.18,16,0.67,0.84,0
STD00220,19,5.35,59.72,62.62,36.19,22,0.84,6,0.87,0.36,0
STD00221,20,6.26,54.66,97.9,52.58,20,1.24,19,0.43,0.5,0
STD00222,24,6.77,70.52,56.41,87.31,16,14.34,7,0.66,0.38,0
STD00223,22,6.89,58.17,63.98,75.01,20,2.56,7,0.3,0.34,0
STD00224,24,6.61,61.09,98.97,84.0,24,10.77,10,0.75,0.49,0
STD00225,17,9.62,65.88,72.19,64.07,23,1.48,14,0.79,0.44,0
STD00226,24,8.24,62.97,70.16,55.13,17,2.07,17,0.23,0.67,0
STD00227,20,7.79,54.38,55.47,66.38,16,7.88,5,0.74,0.83,0
STD00228,17,4.3,54.5,82.08,56.0,6,7.24,11,0.53,0.37,0
STD00229,24,9.42,59.66,40.86,89.53,8,14.3,14,0.3,0.29,0
STD00230,20,9.46,52.53,42.97,54.35,19,14.2,5,0.54,0.7,0
STD00231,22,8.68,81.32,75.96,77.88,2,11.8,17,0.36,0.7,0
STD00232,24,4.04,64.37,60.5,43.9,14,9.23,19,0.53,0.91,0
STD00233,20,4.34,63.99,97.2,79.65,22,7.1,8,0.51,0.11,0
STD00234,19,5.35,66.6,94.19,94.36,12,5.66,7,0.79,0.87,0
STD00235,25,4.79,83.14,82.82,74.56,17,14.23,13,0.82,0.57,0
STD00236,19,6.39,93.53,89.09,71.39,15,9.24,18,0.69,0.66,0
STD00237,25,9.54,87.95,80.04,97.47,18,8.9,18,0.22,0.18,0
STD00238,18,6.83,86.38,47.53,75.78,16,3.86,7,0.94,0.49,0
STD00239,18,4.08,74.22,85.93,51.87,13,1.18,1,0.75,0.3,0
STD00240,18,5.7,84.69,52.61,54.01,21,14.21,3,0.23,0.33,0
STD00241,22,4.27,77.64,59.41,80.84,17,5.05,5,0.86,0.55,0
STD00242,19,4.22,60.81,89.15,82.8,8,6.92,2,0.36,0.83,1
STD00243,25,5.65,60.43,72.19,54.73,1,2.16,2,0.66,0.77,0
STD00244,20,5.65,64.82,91.6,57.45,3,12.64,18,0.57,0.63,0
STD00245,17,8.72,95.54,52.78,99.42,16,0.9,10,0.54,0.59,0
STD00246,20,9.85,77.37,76.47,41.63,2,12.59,9,0.91,0.48,0
STD00247,17,6.23,86.7,45.03,61.3,15,2.53,11,0.55,0.98,0
STD00248,21,6.57,67.33,78.58,39.06,1,13.36,13,0.26,0.6,0
STD00249,20,9.07,70.39,85.75,88.37,9,11.08,17,0.96,0.33,0
STD00250,24,5.61,56.28,75.1,41.0,16,2.89,8,0.94,0.31,0
STD00251,24,4.94,58.56,55.97,78.81,4,8.7,14,0.75,0.65,0
STD00252,23,9.12,91.37,41.88,38.67,12,5.03,2,0.57,0.57,0
STD00253,19,4.28,79.24,47.17,78.74,1,3.08,10,0.27,0.11,0
STD00254,17,7.72,66.88,77.34,89.8,1,12.96,9,0.83,0.85,0
STD00255,17,7.37,90.14,96.07,60.92,7,6.35,17,0.26,0.73,0
STD00256,19,6.08,62.33,52.39,68.94,18,6.28,3,0.25,0.7,0
STD00257,22,5.89,98.8,84.1,61.1,23,2.96,12,0.63,0.16,0
STD00258,23,8.63,67.24,91.99,54.53,23,6.05,5,0.33,0.43,0
STD00259,22,4.52,66.87,71.25,87.21,15,13.14,12,0.21,0.94,1
STD00260,22,5.42,65.6,80.16,52.68,13,5.77,19,0.54,0.88,0
STD00261,22,8.39,56.11,88.9,81.99,16,14.3,4,0.31,0.36,0
STD00262,19,7.29,55.56,55.64,48.4,7,14.22,19,0.33,0.24,0
STD00263,22,4.77,82.41,57.81,51.24,16,2.6,13,0.26,0.5,0
STD00264,24,9.29,93.76,40.04,56.87,13,3.07,12,0.36,0.42,0
STD00265,18,6.36,89.53,97.79,73.3,14,13.01,13,0.77,0.71,0
STD00266,21,8.97,57.06,95.05,64.54,17,6.2,7,0.85,0.97,0
STD00267,17,8.73,77.28,85.87,83.43,12,0.56,15,0.56,0.43,0
STD00268,17,7.75,55.28,44.74,48.88,24,4.47,12,0.61,0.16,0
STD00269,21,6.97,52.26,66.85,35.69,24,9.17,14,0.23,0.91,0
STD00270,19,9.88,82.82,46.11,85.48,20,12.09,18,0.26,0.13,0
STD00271,20,4.87,76.76,40.96,88.41,13,2.43,0,0.41,0.96,0
STD00272,19,8.35,54.1,76.97,38.87,24,2.1,1,0.64,0.7,0
STD00273,17,5.15,51.75,97.65,74.71,20,13.87,17,0.79,0.95,0
STD00274,17,6.03,99.49,94.17,59.58,15,11.39,18,0.68,0.28,0
STD00275,21,5.85,51.5,81.81,86.6,24,9.05,7,0.51,0.14,0
STD00276,22,9.68,72.23,45.8,91.84,21,11.65,2,0.29,0.54,0
STD00277,19,9.8,75.23,56.45,90.32,4,6.72,13,0.82,0.51,0
STD00278,25,5.1,55.86,59.2,85.52,22,11.5,8,0.49,0.4,1
STD00279,21,4.13,58.45,85.79,52.49,2,5.89,7,0.79,0.96,0
STD00280,24,8.32,67.59,88.13,87.77,18,4.04,16,0.61,0.84,0
STD00281,17,6.51,88.08,63.11,69.68,2,11.07,15,0.79,0.7,0
STD00282,21,4.53,75.35,65.07,38.43,15,6.59,9,0.93,0.25,0
STD00283,19,8.1,81.9,42.67,64.7,19,14.73,9,0.94,0.76,0
STD00284,17,7.27,99.26,57.35,96.24,15,5.57,5,0.63,0.75,0
STD00285,20,9.88,88.4,67.08,92.71,20,13.87,16,0.61,0.48,0
STD00286,21,5.36,71.72,47.02,41.65,10,14.03,15,0.41,0.93,0
STD00287,23,6.42,72.32,67.2,83.37,24,4.01,14,0.95,0.25,0
STD00288,17,7.26,80.94,91.19,87.38,20,12.07,13,0.57,0.34,0
STD00289,19,8.75,83.27,74.88,52.64,11,6.78,3,0.3,0.16,0
STD00290,18,7.29,75.04,44.74,65.65,10,13.8,3,0.55,0.82,0
STD00291,25,7.68,82.24,51.5,81.21,23,7.03,1,0.3,0.66,0
STD00292,22,5.36,51.18,68.47,63.54,5,11.29,10,0.6,0.38,0
STD00293,19,9.08,71.48,61.69,42.33,9,7.27,3,0.65,0.25,0
STD00294,24,6.57,63.95,61.52,80.88,20,3.8,15,0.47,0.14,0
STD00295,24,4.85,56.46,71.76,94.26,19,3.39,3,0.26,0.25,1
STD00296,18,7.99,54.98,75.06,77.41,13,6.67,0,0.95,0.51,0
STD00297,22,5.3,80.16,87.81,85.3,18,11.45,18,0.82,0.32,0
STD00298,23,4.59,76.18,60.46,58.29,17,9.27,1,0.87,0.33,0
STD00299,18,9.17,62.68,88.33,46.91,6,10.49,8,0.49,0.89,0
STD00300,18,6.76,73.55,60.32,76.78,10,4.59,12,0.81,0.56,0
STD00301,17,8.5,74.61,43.33,56.31,2,7.48,17,0.59,0.76,0
STD00302,24,5.74,59.75,73.25,90.9,24,1.14,15,0.36,0.13,1
STD00303,17,8.72,82.6,75.27,42.97,6,12.35,15,0.3,0.43,0
STD00304,25,4.67,89.05,96.07,63.18,21,14.85,9,0.48,0.53,0
STD00305,22,6.14,89.57,83.56,60.79,13,6.4,8,0.31,0.27,0
STD00306,23,9.87,80.12,95.07,95.97,18,0.66,10,1.0,0.21,0
STD00307,23,8.76,75.58,94.5,44.95,7,2.96,3,0.24,0.88,0
STD00308,19,6.98,53.05,76.27,35.64,2,9.96,9,0.55,0.95,0
STD00309,18,6.04,64.39,71.67,50.48,14,9.38,2,0.56,0.17,0
STD00310,25,9.23,54.66,73.45,88.32,5,11.92,5,0.44,0.41,0
STD00311,24,7.27,98.19,98.7,48.61,18,4.18,2,0.66,0.96,0
STD00312,23,8.55,56.75,86.39,50.66,11,11.57,8,0.32,0.17,0
STD00313,25,8.52,57.59,46.38,43.44,10,10.48,2,0.83,0.68,0
STD00314,20,4.11,94.48,86.71,81.5,11,5.18,17,0.47,0.97,0
STD00315,20,4.76,97.2,50.23,39.5,2,8.41,7,0.67,0.98,0
STD00316,17,7.96,88.29,66.84,56.53,15,2.64,7,0.77,0.52,0
STD00317,24,4.97,50.27,52.63,53.36,7,7.06,14,0.91,0.25,0
STD00318,19,5.53,50.07,81.37,71.09,9,13.28,12,0.87,0.28,0
STD00319,23,9.68,68.91,92.64,82.48,5,6.61,6,0.69,0.9,0
STD00320,18,7.36,57.17,57.42,69.64,7,12.67,18,0.51,0.92,0
STD00321,18,8.5,50.92,44.92,95.52,20,9.06,7,0.6,0.65,0
STD00322,23,7.35,73.2,57.91,96.84,2,3.28,9,0.81,0.79,0
STD00323,22,7.32,97.15,80.34,58.5,3,8.93,16,0.9,0.77,0
STD00324,19,4.56,66.19,59.73,85.55,2,7.84,0,0.28,0.7,1
STD00325,25,6.06,83.06,56.69,83.02,21,6.28,12,0.51,0.84,0
STD00326,22,5.69,82.61,51.07,93.04,22,2.23,12,0.82,0.72,0
STD00327,22,6.34,62.55,69.85,64.12,23,6.54,15,0.55,0.58,0
STD00328,17,8.79,82.52,56.56,69.48,19,1.56,8,0.47,0.31,0
STD00329,20,6.23,60.62,83.86,62.03,4,1.93,9,0.53,0.77,0
STD00330,22,6.71,56.1,44.6,90.27,24,6.53,5,0.68,0.53,0
STD00331,22,6.38,85.07,79.84,49.93,20,4.93,4,1.0,0.37,0
STD00332,21,4.56,55.67,54.25,50.58,7,13.92,1,0.59,0.82,0
STD00333,17,6.65,99.85,69.36,59.22,22,5.95,10,0.37,0.73,0
STD00334,24,5.17,59.17,57.17,49.97,7,11.49,8,0.33,0.94,1
STD00335,21,5.12,79.71,83.37,71.47,17,8.19,5,0.23,0.25,0
STD00336,21,4.56,70.57,96.72,43.74,19,10.71,7,0.65,0.68,0
